Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
2/13/18,HMRHWFDSJ4,2/12/18,3,Huge Guesthouse near Stanford: 2 Bedr+office+patio,268.8
2/13/18,HMRHWFDSJ4,2/12/18,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
2/8/18,HM2AZZ49QK,2/6/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1319.51
2/7/18,HMFH2EYQTB,2/6/18,8,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",347.51
2/7/18,HMFH2EYQTB,2/6/18,8,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",1042.49
2/7/18,HMFH2EYQTB,2/6/18,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
2/7/18,HM2AZZ49QK,2/6/18,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,439.83
2/7/18,HM2AZZ49QK,2/6/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/31/18,HM9ATCP5BE,1/29/18,4,NEW Gorgeous 4 bedr Home + Garden near Stanford,951.75
1/30/18,HM9ATCP5BE,1/29/18,4,NEW Gorgeous 4 bedr Home + Garden near Stanford,317.25
1/30/18,HM9ATCP5BE,1/29/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/29/18,HMZQXPB82F,1/28/18,4,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",192.51
1/29/18,HMZQXPB82F,1/28/18,4,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",577.49
1/29/18,HMZQXPB82F,1/28/18,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
1/29/18,HMADZPD2ZR,1/28/18,13,"Retro Suite, 2 sleeping areas- near Stanford",1436.61
1/29/18,HMADZPD2ZR,1/28/18,13,"Retro Suite, 2 sleeping areas- near Stanford",359.15
1/29/18,HMADZPD2ZR,1/28/18,,"Retro Suite, 2 sleeping areas- near Stanford",
1/25/18,HM2BD8NB9Q,1/23/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,1044.75
1/24/18,HM2BD8NB9Q,1/23/18,5,NEW Gorgeous 4 bedr Home + Garden near Stanford,348.25
1/24/18,HM2BD8NB9Q,1/23/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/23/18,HMZD4ZRN32,1/21/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,472.51
1/22/18,HMZD4ZRN32,1/21/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,157.49
1/22/18,HMZD4ZRN32,1/21/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/19/18,HMCA9QXBAX,1/17/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,472.51
1/18/18,HMSCKFSRHE,1/17/18,6,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",272.51
1/18/18,HMSCKFSRHE,1/17/18,6,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",817.49
1/18/18,HMSCKFSRHE,1/17/18,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
1/18/18,HMCA9QXBAX,1/17/18,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,157.49
1/18/18,HMCA9QXBAX,1/17/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/14/18,HMZ23ZTTAS,1/13/18,14,"Retro Suite, 2 sleeping areas- near Stanford",1499.97
1/14/18,HMZ23ZTTAS,1/13/18,14,"Retro Suite, 2 sleeping areas- near Stanford",374.99
1/14/18,HMZ23ZTTAS,1/13/18,,"Retro Suite, 2 sleeping areas- near Stanford",
1/10/18,HM5H29KTDP,1/8/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,712.51
1/9/18,HM5H29KTDP,1/8/18,3,NEW Gorgeous 4 bedr Home + Garden near Stanford,237.49
1/9/18,HM5H29KTDP,1/8/18,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
1/8/18,HMEPWT3PH8,1/7/18,7,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",316.68
1/8/18,HMEPWT3PH8,1/7/18,7,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",950.02
1/8/18,HMEPWT3PH8,1/7/18,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
1/6/18,HMKBWA8X25,1/5/18,7,"Retro Suite, 2 sleeping areas- near Stanford",749.83
1/6/18,HMKBWA8X25,1/5/18,7,"Retro Suite, 2 sleeping areas- near Stanford",187.45
1/6/18,HMKBWA8X25,1/5/18,,"Retro Suite, 2 sleeping areas- near Stanford",
12/31/17,HMTRFBJSTX,12/30/17,4,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1128
12/31/17,HMTRFBJSTX,12/30/17,4,Huge Guesthouse near Stanford: 2 Bedr+office+patio,282
12/31/17,HMTRFBJSTX,12/30/17,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
12/29/17,HMXABR42FM,12/28/17,7,"Retro Suite, 2 sleeping areas- near Stanford",711.2
12/29/17,HMXABR42FM,12/28/17,7,"Retro Suite, 2 sleeping areas- near Stanford",177.8
12/29/17,HMXABR42FM,12/28/17,,"Retro Suite, 2 sleeping areas- near Stanford",
12/26/17,HMWKKDKQCB,12/24/17,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,1125
12/25/17,HMDJHEKANP,12/24/17,6,"Spacious 3 Bedr Apt, ideal location",1201.6
12/25/17,HMDJHEKANP,12/24/17,6,"Spacious 3 Bedr Apt, ideal location",300.4
12/25/17,HMDJHEKANP,12/24/17,,"Spacious 3 Bedr Apt, ideal location",
12/25/17,HMWKKDKQCB,12/24/17,7,NEW Gorgeous 4 bedr Home + Garden near Stanford,375
12/25/17,HMWKKDKQCB,12/24/17,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
12/24/17,HMK3XE4FKM,12/23/17,9,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",539.25
12/24/17,HMK3XE4FKM,12/23/17,9,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",1617.75
12/24/17,HMK3XE4FKM,12/23/17,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
12/22/17,HMTJFBRHF2,12/21/17,7,"Retro Suite, 2 sleeping areas- near Stanford",813.72
12/22/17,HMTJFBRHF2,12/21/17,7,"Retro Suite, 2 sleeping areas- near Stanford",203.43
12/22/17,HMTJFBRHF2,12/21/17,,"Retro Suite, 2 sleeping areas- near Stanford",
12/21/17,HMZRCSFSS3,12/20/17,2,NEW Gorgeous 4 bedr Home + Garden near Stanford,600
12/21/17,HMZRCSFSS3,12/20/17,,NEW Gorgeous 4 bedr Home + Garden near Stanford,
12/20/17,HMKZFNZ3SW,12/19/17,8,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1916
12/20/17,HMKZFNZ3SW,12/19/17,8,Huge Guesthouse near Stanford: 2 Bedr+office+patio,479
12/20/17,HMKZFNZ3SW,12/19/17,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
12/11/17,HMJFEEQ4M9,12/10/17,5,"Retro Suite, 2 sleeping areas- near Stanford",580
12/11/17,HMJFEEQ4M9,12/10/17,5,"Retro Suite, 2 sleeping areas- near Stanford",145
12/11/17,HMJFEEQ4M9,12/10/17,,"Retro Suite, 2 sleeping areas- near Stanford",
12/6/17,HM822TBKRQ,12/5/17,6,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1632
12/6/17,HM822TBKRQ,12/5/17,6,Huge Guesthouse near Stanford: 2 Bedr+office+patio,408
12/6/17,HM822TBKRQ,12/5/17,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
12/4/17,HMZ948MH4M,12/3/17,12,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",694
12/4/17,HMZ948MH4M,12/3/17,12,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",2082
12/4/17,HMZ948MH4M,12/3/17,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
12/3/17,HMTCRDWBY2,12/2/17,5,"Retro Suite, 2 sleeping areas- near Stanford",624
12/3/17,HMTCRDWBY2,12/2/17,5,"Retro Suite, 2 sleeping areas- near Stanford",156
12/3/17,HMTCRDWBY2,12/2/17,,"Retro Suite, 2 sleeping areas- near Stanford",
11/28/17,HMW4WNQ54B,11/27/17,4,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",212.51
11/28/17,HMW4WNQ54B,11/27/17,4,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",637.49
11/28/17,HMW4WNQ54B,11/27/17,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
11/21/17,HMPQ5AXAK9,11/20/17,7,Huge Guesthouse near Stanford: 2 Bedr+office+patio,1881.6
11/21/17,HMPQ5AXAK9,11/20/17,7,Huge Guesthouse near Stanford: 2 Bedr+office+patio,470.4
11/21/17,HMPQ5AXAK9,11/20/17,,Huge Guesthouse near Stanford: 2 Bedr+office+patio,
11/20/17,HM9KCBNED2,11/19/17,7,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",471.25
11/20/17,HM9KCBNED2,11/19/17,7,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",1413.75
11/20/17,HM9KCBNED2,11/19/17,,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",
11/19/17,HM9CRPBF55,11/18/17,8,"Retro Suite, 2 sleeping areas- near Stanford",930.68
11/19/17,HM9CRPBF55,11/18/17,8,"Retro Suite, 2 sleeping areas- near Stanford",232.67
11/19/17,HM9CRPBF55,11/18/17,,"Retro Suite, 2 sleeping areas- near Stanford",
11/14/17,HMFQEEAJNC,11/13/17,3,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",216.25
11/14/17,HMFQEEAJNC,11/13/17,3,"Fabulous 2 Bedr home + yard+ BBQ, family friendly",648.75
